Subject,Course_Number,Course_Code,Title,Credits,Description,Requisites,Equivalent_To,Additional_Information,Repeatable,Other_Notes,Description_HTML
ENVS,503,ENVS 503,Thesis,1-16 Credits,A written document resulting from study or research and submitted as a major requirement for a degree.,,,,Repeatable 8 times,,"<p class=""courseblockdesc"">
A written document resulting from study or research and submitted as a major requirement for a degree.<br/><b>Repeatable 8 times</b><br/>
</p>"
ENVS,507,ENVS 507,Seminar: [Topic],1-5 Credits,"A small group of students studying a subject with a faculty member. Although practices vary, students may do original research and exchange results through informal lectures, reports, and discussions.",,,,Repeatable 99 times,,"<p class=""courseblockdesc"">
A small group of students studying a subject with a faculty member. Although practices vary, students may do original research and exchange results through informal lectures, reports, and discussions.<br/><b>Repeatable 99 times</b><br/>
</p>"
ENVS,508,ENVS 508,Workshop: [Topic],1-8 Credits,"An intensive experience, limited in scope and time, in which a group of students focus on skills development rather than content mastery.",,,,Repeatable 99 times,,"<p class=""courseblockdesc"">
An intensive experience, limited in scope and time, in which a group of students focus on skills development rather than content mastery.<br/><b>Repeatable 99 times</b><br/>
</p>"
ENVS,510,ENVS 510,Experimental Course: [Topic],1-5 Credits,Experimental course - topic varies.,,,,Repeatable 99 times,,"<p class=""courseblockdesc"">
Experimental course - topic varies.<br/><b>Repeatable 99 times</b><br/>
</p>"
ENVS,525,ENVS 525,Environmental Education Theory and Practice,4 Credits,"Learning theories, environmental literacy, and the planning, implementation, and evaluation of environmental education programs. Development of teaching materials in collaboration with a community partner for group project.",,,,,,"<p class=""courseblockdesc"">
Learning theories, environmental literacy, and the planning, implementation, and evaluation of environmental education programs. Development of teaching materials in collaboration with a community partner for group project.<br/>
</p>"
ENVS,530,ENVS 530,Nature in Popular Culture,4 Credits,"This environmental humanities course examines the various ways that nature is represented in U.S. popular culture. What can advertisements, films, television, and video games teach us about the ways we imagine nature, the environment, and environmentalism?",,,,,,"<p class=""courseblockdesc"">
This environmental humanities course examines the various ways that nature is represented in U.S. popular culture. What can advertisements, films, television, and video games teach us about the ways we imagine nature, the environment, and environmentalism?<br/>
</p>"
ENVS,535,ENVS 535,Environmental Justice,4 Credits,"Environmental justice and its impact on current decisions. Focus on civil rights law, perception of risk, and relation of sustainability and equity.",,,,,,"<p class=""courseblockdesc"">
Environmental justice and its impact on current decisions. Focus on civil rights law, perception of risk, and relation of sustainability and equity.<br/>
</p>"
ENVS,550,ENVS 550,Political Ecology,4 Credits,"Examines how social relations and economic, social, and cultural control of natural resources shape human interactions with the environment. Theory and case studies.",,,,,,"<p class=""courseblockdesc"">
Examines how social relations and economic, social, and cultural control of natural resources shape human interactions with the environment. Theory and case studies.<br/>
</p>"
ENVS,555,ENVS 555,Sustainability,4 Credits,"Examines the evolution of the concept of sustainability and its complex and sometimes problematic uses among scholars, policymakers, environmentalists, and businesses.",,,,,,"<p class=""courseblockdesc"">
Examines the evolution of the concept of sustainability and its complex and sometimes problematic uses among scholars, policymakers, environmentalists, and businesses.<br/>
</p>"
ENVS,559,ENVS 559,"Water, Public Health, and the Environment",4 Credits,"Water, Public Health, and the Environment examines the provision of water and sanitation services around the world with a particular focus on its impacts for public health and the environment in low- and middle-income communities.",,,,,,"<p class=""courseblockdesc"">
Water, Public Health, and the Environment examines the provision of water and sanitation services around the world with a particular focus on its impacts for public health and the environment in low- and middle-income communities.<br/>
</p>"
ENVS,565,ENVS 565,Wetland Ecology and Management,4 Credits,"Examines management, law, and policies related to wetlands in an ecological framework; includes wetland type definitions, classification, distribution, formation and development, and restoration.",,,,,,"<p class=""courseblockdesc"">
Examines management, law, and policies related to wetlands in an ecological framework; includes wetland type definitions, classification, distribution, formation and development, and restoration.<br/>
</p>"
ENVS,567,ENVS 567,Sustainable Agriculture,4 Credits,"Examines sustainability issues in agricultural production and current food systems. Focuses on environmental aspects of seed, water, soil, energy, and pest management.",,,,,,"<p class=""courseblockdesc"">
Examines sustainability issues in agricultural production and current food systems. Focuses on environmental aspects of seed, water, soil, energy, and pest management.<br/>
</p>"
ENVS,577,ENVS 577,Soil Science,4 Credits,"Chemical and physical characteristics and classification of soils, field soil identification, soil degradation.",,,,,,"<p class=""courseblockdesc"">
Chemical and physical characteristics and classification of soils, field soil identification, soil degradation.<br/>
</p>"
ENVS,593M,ENVS 593M,Passive Cooling,4 Credits,"Conceptual and quantitative investigations of passive cooling design and performance, including precedents, shading, natural ventilation, evaporative cooling, use of thermal mass, radiant cooling assisted by cold night skies, and control scheduling, supported by field investigations and introductory energy modeling. Multilisted with ARCH 593M.",Prereq: ARCH 591.,,,,,"<p class=""courseblockdesc"">
Conceptual and quantitative investigations of passive cooling design and performance, including precedents, shading, natural ventilation, evaporative cooling, use of thermal mass, radiant cooling assisted by cold night skies, and control scheduling, supported by field investigations and introductory energy modeling.  Multilisted with <a class=""bubblelink code"" href=""/search/?P=ARCH%20593M"" onclick=""return showCourse(this, 'ARCH 593M');"" title=""ARCH 593M"">ARCH 593M</a>.<br/><b>Requisites:</b> Prereq: <a class=""bubblelink code"" href=""/search/?P=ARCH%20591"" onclick=""return showCourse(this, 'ARCH 591');"" title=""ARCH 591"">ARCH 591</a>.<br/>
</p>"
ENVS,601,ENVS 601,Research: [Topic],1-16 Credits,Disciplined inquiry of a topic with varying techniques and assignments suited to the nature and conditions of the problem being investigated. Often pursued in relation to a dissertation or thesis.,,,,Repeatable 99 times,,"<p class=""courseblockdesc"">
Disciplined inquiry of a topic with varying techniques and assignments suited to the nature and conditions of the problem being investigated. Often pursued in relation to a dissertation or thesis.<br/><b>Repeatable 99 times</b><br/>
</p>"
ENVS,603,ENVS 603,Dissertation,1-16 Credits,A written document resulting from study or research and submitted as a major requirement for a degree.,,,,Repeatable 99 times,,"<p class=""courseblockdesc"">
A written document resulting from study or research and submitted as a major requirement for a degree.<br/><b>Repeatable 99 times</b><br/>
</p>"
ENVS,604,ENVS 604,Internship: [Topic],1-5 Credits,Professional practice in an organization that integrates concepts studied at the university with career-related work experience.,,,,Repeatable 9 times for a maximum of 10 credits,,"<p class=""courseblockdesc"">
Professional practice in an organization that integrates concepts studied at the university with career-related work experience.<br/><b>Repeatable 9 times for a maximum of 10 credits</b><br/>
</p>"
ENVS,605,ENVS 605,Reading and Conference: [Topic],1-16 Credits,A particular selection of material read by a student and discussed in conference with a faculty member.,,,,Repeatable 99 times,,"<p class=""courseblockdesc"">
A particular selection of material read by a student and discussed in conference with a faculty member.<br/><b>Repeatable 99 times</b><br/>
</p>"
ENVS,606,ENVS 606,Field Studies: [Topic],1-16 Credits,A series of practical experiences on or off campus to understand principles or develop skills in performing selected tasks.,,,,Repeatable 9 times,,"<p class=""courseblockdesc"">
A series of practical experiences on or off campus to understand principles or develop skills in performing selected tasks.<br/><b>Repeatable 9 times</b><br/>
</p>"
ENVS,607,ENVS 607,Seminar: [Topic],1-5 Credits,"A small group of students studying a subject with a faculty member. Although practices vary, students may do original research and exchange results through informal lectures, reports, and discussions.",,,,Repeatable 99 times,,"<p class=""courseblockdesc"">
A small group of students studying a subject with a faculty member. Although practices vary, students may do original research and exchange results through informal lectures, reports, and discussions.<br/><b>Repeatable 99 times</b><br/>
</p>"
ENVS,608,ENVS 608,Workshop: [Topic],1-16 Credits,"An intensive experience, limited in scope and time, in which a group of students focus on skills development rather than content mastery.",,,,Repeatable 99 times,,"<p class=""courseblockdesc"">
An intensive experience, limited in scope and time, in which a group of students focus on skills development rather than content mastery.<br/><b>Repeatable 99 times</b><br/>
</p>"
ENVS,609,ENVS 609,Terminal Project,1-16 Credits,A presentation incorporating the knowledge and skills acquired from course work completed for a degree.,,,,Repeatable 8 times,,"<p class=""courseblockdesc"">
A presentation incorporating the knowledge and skills acquired from course work completed for a degree.<br/><b>Repeatable 8 times</b><br/>
</p>"
ENVS,610,ENVS 610,Experimental Course: [Topic],1-5 Credits,A recent topic is Interdisciplinary Capstone Project.,,,,Repeatable 99 times,,"<p class=""courseblockdesc"">
A recent topic is Interdisciplinary Capstone Project.<br/><b>Repeatable 99 times</b><br/>
</p>"
ENVS,631,ENVS 631,Environmental Studies Theory and Practice,4 Credits,"Introduction to various disciplinary perspectives that contribute to environmental studies, including their research methods, vocabularies, and core concepts.",,,,,,"<p class=""courseblockdesc"">
Introduction to various disciplinary perspectives that contribute to environmental studies, including their research methods, vocabularies, and core concepts.<br/>
</p>"
ENVS,632,ENVS 632,Environmental Studies Research Methodology,2 Credits,"Identifying a clear and concise research problem, developing methodology to address that problem, and the process of developing a thorough knowledge of relevant literature.",,,,,,"<p class=""courseblockdesc"">
Identifying a clear and concise research problem, developing methodology to address that problem, and the process of developing a thorough knowledge of relevant literature.<br/>
</p>"
ENVS,633,ENVS 633,Environmental Studies Thesis Development,3 Credits,Interdisciplinary readings in environmental studies focused on topics chosen by each student in consultation with instructor. Preparation for presentations at the Joint Campus Conference.,,,,,,"<p class=""courseblockdesc"">
Interdisciplinary readings in environmental studies focused on topics chosen by each student in consultation with instructor. Preparation for presentations at the Joint Campus Conference.<br/>
</p>"
ERTH,101,ERTH 101,Exploring Planet Earth,4 Credits,"Plate tectonics, mantle flow, and magmatism. Volcanoes, earthquakes, mountain building, generation of Earth's crust; rocks and minerals; Earth's internal structure. Comparison with other planets. Laboratory, lecture.",,,Science Area,,,"<p class=""courseblockdesc"">
Plate tectonics, mantle flow, and magmatism. Volcanoes, earthquakes, mountain building, generation of Earth's crust; rocks and minerals; Earth's internal structure. Comparison with other planets. Laboratory, lecture.<br/><b>Additional Information:</b><br/> Science Area<br/>
</p>"
ERTH,102,ERTH 102,Exploring Earth’s Environment,4 Credits,"Landforms, surface processes, and interactions between humans and the environment. Weathering, erosion, sedimentation, ground water, streams, glaciers, deserts, oceans, and coastlines; geologic hazards. Laboratory, lecture. Roering.",,,Science Area,,,"<p class=""courseblockdesc"">
Landforms, surface processes, and interactions between humans and the environment. Weathering, erosion, sedimentation, ground water, streams, glaciers, deserts, oceans, and coastlines; geologic hazards. Laboratory, lecture. Roering.<br/><b>Additional Information:</b><br/> Science Area<br/>
</p>"
ERTH,103,ERTH 103,Exploring Earth History,4 Credits,"History of the Earth. Geologic time, sedimentary environments; oceans, mountains, and climate through time; stratigraphic history of North America; evolution of plants and animals; interactions between humans, science, and the environment.",,,Science Area,,,"<p class=""courseblockdesc"">
History of the Earth. Geologic time, sedimentary environments; oceans, mountains, and climate through time; stratigraphic history of North America; evolution of plants and animals; interactions between humans, science, and the environment.<br/><b>Additional Information:</b><br/> Science Area<br/>
</p>"
ERTH,137,ERTH 137,Mountains and Glaciers,4 Credits,"Survey of the geological processes that create mountain ranges around the world, and the glaciers that both adorn and erode them; an introduction to these select topics in geological science.",,,Science Area,,,"<p class=""courseblockdesc"">
Survey of the geological processes that create mountain ranges around the world, and the glaciers that both adorn and erode them; an introduction to these select topics in geological science.<br/><b>Additional Information:</b><br/> Science Area<br/>
</p>"
ERTH,156M,ERTH 156M,Scientific Revolutions,4 Credits,"Surveys several major revolutions in our views of the natural and technological world, focusing on scientific concepts and methodological aspects. For nonscience majors. Multilisted with PHYS 156M.",,PHYS 156M,Science Area,,,"<p class=""courseblockdesc"">
Surveys several major revolutions in our views of the natural and technological world, focusing on scientific concepts and methodological aspects. For nonscience majors. Multilisted with <a class=""bubblelink code"" href=""/search/?P=PHYS%20156M"" onclick=""return showCourse(this, 'PHYS 156M');"" title=""PHYS 156M"">PHYS 156M</a>.<br/><b>Equivalent to:</b> <a class=""bubblelink code"" href=""/search/?P=PHYS%20156M"" onclick=""return showCourse(this, 'PHYS 156M');"" title=""PHYS 156M"">PHYS 156M</a><br/><b>Additional Information:</b><br/> Science Area<br/>
</p>"
ERTH,198,ERTH 198,Laboratory Projects: [Topic],1-12 Credits,An experience in a lab setting in which a group of students focus on skills development rather than content master.,,,,Repeatable 99 times,,"<p class=""courseblockdesc"">
An experience in a lab setting in which a group of students focus on skills development rather than content master.<br/><b>Repeatable 99 times</b><br/>
</p>"
ERTH,199,ERTH 199,Special Studies: [Topic],1-6 Credits,Studies of geologic topics combine background lectures with guided field trips to areas of geologic interest.,,,,Repeatable 99 times,,"<p class=""courseblockdesc"">
Studies of geologic topics combine background lectures with guided field trips to areas of geologic interest.<br/><b>Repeatable 99 times</b><br/>
</p>"
ERTH,201,ERTH 201,Dynamic Planet Earth,4 Credits,"Processes that cause earthquakes, volcanism, mountain building, and plate tectonics. Includes Earth's origin and internal structure, rocks and minerals, gravity and magnetics. Weekly lectures, two-hour laboratory.",,,Science Area,,,"<p class=""courseblockdesc"">
Processes that cause earthquakes, volcanism, mountain building, and plate tectonics. Includes Earth's origin and internal structure, rocks and minerals, gravity and magnetics. Weekly lectures, two-hour laboratory.<br/><b>Additional Information:</b><br/> Science Area<br/>
</p>"
ERTH,202,ERTH 202,Earth's Surface and Environment,4 Credits,"Earth materials, the rock record, human interactions with surface environment. Sedimentary rocks and environments, chemical and physical weathering, hydrogeology, ground-water contamination, surface processes, human impacts. Weekly lectures, two-hour laboratory.",,,Science Area,,,"<p class=""courseblockdesc"">
Earth materials, the rock record, human interactions with surface environment. Sedimentary rocks and environments, chemical and physical weathering, hydrogeology, ground-water contamination, surface processes, human impacts. Weekly lectures, two-hour laboratory.<br/><b>Additional Information:</b><br/> Science Area<br/>
</p>"
ERTH,203,ERTH 203,History of Life,4 Credits,"Origin, history, and physical evolution of the Earth; geologic time scales, development of the global stratigraphic section. Weekly lectures, two-hour laboratory.",,,Science Area,,,"<p class=""courseblockdesc"">
Origin, history, and physical evolution of the Earth; geologic time scales, development of the global stratigraphic section. Weekly lectures, two-hour laboratory.<br/><b>Additional Information:</b><br/> Science Area<br/>
</p>"
ERTH,213,ERTH 213,Geology of National Parks,4 Credits,Examines selected geologic features in United States national parks/monuments and the processes that form them within a historical approach to the development of the North American continent. Focuses on parks and monuments throughout the conterminous 48 states.,,,Science Area,,,"<p class=""courseblockdesc"">
Examines selected geologic features in United States national parks/monuments and the processes that form them within a historical approach to the development of the North American continent.  Focuses on parks and monuments throughout the conterminous 48 states.<br/><b>Additional Information:</b><br/> Science Area<br/>
</p>"
ERTH,304,ERTH 304,The Fossil Record,4 Credits,"This course will cover the history of life on Earth through time as found in the fossil record, as well as how scientists go about studying the fossil record. The curriculum also includes the processes of speciation and the disciplines of functional morphology and paleoecology.",,,Science Area,,,"<p class=""courseblockdesc"">
This course will cover the history of life on Earth through time as found in the fossil record, as well as how scientists go about studying the fossil record. The curriculum also includes the processes of speciation and the disciplines of functional morphology and paleoecology.<br/><b>Additional Information:</b><br/> Science Area<br/>
</p>"
ERTH,305,ERTH 305,Dinosaurs,4 Credits,"This course covers the evolution, occurrence, and variety of animals classified within the Dinosauria and the changing climate and vegetation during their time. Students will discuss dinosaur video depiction in popular culture and will assess the accuracy of those representations.",,,Science Area,,,"<p class=""courseblockdesc"">
This course covers the evolution, occurrence, and variety of animals classified within the Dinosauria and the changing climate and vegetation during their time. Students will discuss dinosaur video depiction in popular culture and will assess the accuracy of those representations.<br/><b>Additional Information:</b><br/> Science Area<br/>
</p>"
ERTH,306,ERTH 306,Volcanoes and Earthquakes,4 Credits,"Mechanisms that cause earthquakes and volcanoes, relation to plate tectonics, associated hazards, examples in Oregon and the western United States.",,,Science Area,,,"<p class=""courseblockdesc"">
Mechanisms that cause earthquakes and volcanoes, relation to plate tectonics, associated hazards, examples in Oregon and the western United States.<br/><b>Additional Information:</b><br/> Science Area<br/>
</p>"
ERTH,307,ERTH 307,Oceanography,4 Credits,"Characteristics and physical, chemical, and biological processes of the world's oceans. Includes sections on origin of the oceans, plate tectonics, and human use and misuse of oceans. Students cannot receive credit for both BI 150 and ERTH 307.",,BI 150,Science Area,,,"<p class=""courseblockdesc"">
Characteristics and physical, chemical, and biological processes of the world's oceans. Includes sections on origin of the oceans, plate tectonics, and human use and misuse of oceans. Students cannot receive credit for both <a class=""bubblelink code"" href=""/search/?P=BI%20150"" onclick=""return showCourse(this, 'BI 150');"" title=""BI 150"">BI 150</a> and <a class=""bubblelink code"" href=""/search/?P=ERTH%20307"" onclick=""return showCourse(this, 'ERTH 307');"" title=""ERTH 307"">ERTH 307</a>.<br/><b>Equivalent to:</b> <a class=""bubblelink code"" href=""/search/?P=BI%20150"" onclick=""return showCourse(this, 'BI 150');"" title=""BI 150"">BI 150</a><br/><b>Additional Information:</b><br/> Science Area<br/>
</p>"
ERTH,308,ERTH 308,Geology of Oregon and the Pacific Northwest,4 Credits,The region's geologic and tectonic history and the plate tectonic processes responsible for its evolution.,,,Science Area,,,"<p class=""courseblockdesc"">
The region's geologic and tectonic history and the plate tectonic processes responsible for its evolution.<br/><b>Additional Information:</b><br/> Science Area<br/>
</p>"
ERTH,310,ERTH 310,Earth Resources and the Environment,4 Credits,"Geology of energy, mineral, and water resources and environmental issues related to their use. Topics include fossil fuels, metals, nuclear waste disposal, and water pollution.",,,Science Area,,,"<p class=""courseblockdesc"">
Geology of energy, mineral, and water resources and environmental issues related to their use. Topics include fossil fuels, metals, nuclear waste disposal, and water pollution.<br/><b>Additional Information:</b><br/> Science Area<br/>
</p>"
ERTH,311,ERTH 311,Earth Materials,5 Credits,"Chemical and mineralogical composition of rocks, sediment, and soil. Properties of common minerals; origin of rocks; microscopic study of rock textures; environmental issues.","Prereq: ERTH 101, ERTH 102 or ERTH 201, ERTH 202; coreq CH 221Z or CH 224H.",,,,,"<p class=""courseblockdesc"">
Chemical and mineralogical composition of rocks, sediment, and soil. Properties of common minerals; origin of rocks; microscopic study of rock textures; environmental issues.<br/><b>Requisites:</b> Prereq: <a class=""bubblelink code"" href=""/search/?P=ERTH%20101"" onclick=""return showCourse(this, 'ERTH 101');"" title=""ERTH 101"">ERTH 101</a>, <a class=""bubblelink code"" href=""/search/?P=ERTH%20102"" onclick=""return showCourse(this, 'ERTH 102');"" title=""ERTH 102"">ERTH 102</a> or <a class=""bubblelink code"" href=""/search/?P=ERTH%20201"" onclick=""return showCourse(this, 'ERTH 201');"" title=""ERTH 201"">ERTH 201</a>, <a class=""bubblelink code"" href=""/search/?P=ERTH%20202"" onclick=""return showCourse(this, 'ERTH 202');"" title=""ERTH 202"">ERTH 202</a>; coreq <a class=""bubblelink code"" href=""/search/?P=CH%20221Z"" onclick=""return showCourse(this, 'CH 221Z');"" title=""CH 221Z"">CH 221Z</a> or <a class=""bubblelink code"" href=""/search/?P=CH%20224H"" onclick=""return showCourse(this, 'CH 224H');"" title=""CH 224H"">CH 224H</a>.<br/>
</p>"
ERTH,315,ERTH 315,Earth Physics,4 Credits,"Physics of basic Earth processes; application of physics to plate tectonics and lithospheric deformation. Topics include forces, deformation, gravity, and seismology. Taught once or more per academic year.","Prereq: MATH 252Z, PHYS 201.",,,,,"<p class=""courseblockdesc"">
Physics of basic Earth processes; application of physics to plate tectonics and lithospheric deformation. Topics include forces, deformation, gravity, and seismology. Taught once or more per academic year.<br/><b>Requisites:</b> Prereq: <a class=""bubblelink code"" href=""/search/?P=MATH%20252Z"" onclick=""return showCourse(this, 'MATH 252Z');"" title=""MATH 252Z"">MATH 252Z</a>, <a class=""bubblelink code"" href=""/search/?P=PHYS%20201"" onclick=""return showCourse(this, 'PHYS 201');"" title=""PHYS 201"">PHYS 201</a>.<br/>
</p>"
ERTH,316,ERTH 316,Introduction to Hydrogeology,4 Credits,"Examines the role of water in geologic and environmental processes. Topics include the water cycle, groundwater flow, and contaminant transport.","Pre- or coreq: MATH 252Z, PHYS 201.",,,,,"<p class=""courseblockdesc"">
Examines the role of water in geologic and environmental processes. Topics include the water cycle, groundwater flow, and contaminant transport.<br/><b>Requisites:</b> Pre- or coreq:  <a class=""bubblelink code"" href=""/search/?P=MATH%20252Z"" onclick=""return showCourse(this, 'MATH 252Z');"" title=""MATH 252Z"">MATH 252Z</a>, <a class=""bubblelink code"" href=""/search/?P=PHYS%20201"" onclick=""return showCourse(this, 'PHYS 201');"" title=""PHYS 201"">PHYS 201</a>.<br/>
</p>"
ERTH,318,ERTH 318,Introduction to Field Methods,3 Credits,"Introduction to geologic mapping and related field skills, rock descriptions, cross sections, and structures. Lectures, laboratories, mandatory field trips.",Prereq: ERTH 101 – ERTH 103 or ERTH 201 – ERTH 203.,,,,,"<p class=""courseblockdesc"">
Introduction to geologic mapping and related field skills, rock descriptions, cross sections, and structures. Lectures, laboratories, mandatory field trips.<br/><b>Requisites:</b> Prereq: <a class=""bubblelink code"" href=""/search/?P=ERTH%20101"" onclick=""return showCourse(this, 'ERTH 101');"" title=""ERTH 101"">ERTH 101</a>–<a class=""bubblelink code"" href=""/search/?P=ERTH%20103"" onclick=""return showCourse(this, 'ERTH 103');"" title=""ERTH 103"">ERTH 103</a> or <a class=""bubblelink code"" href=""/search/?P=ERTH%20201"" onclick=""return showCourse(this, 'ERTH 201');"" title=""ERTH 201"">ERTH 201</a>–<a class=""bubblelink code"" href=""/search/?P=ERTH%20203"" onclick=""return showCourse(this, 'ERTH 203');"" title=""ERTH 203"">ERTH 203</a>.<br/>
</p>"
ERTH,319,ERTH 319,Field Studies Oregon Geology,4 Credits,"Two-week summer course. Introduction to Oregon geology in the field with emphasis on processes and materials that shape the Earth’s surface. Students use field data and maps to investigate volcanic activity, erosion, landslides, tectonic faults, and/or geologic hazards.",Prereq: ERTH 101 or ERTH 201.,,,,,"<p class=""courseblockdesc"">
Two-week summer course.  Introduction to Oregon geology in the field with emphasis on processes and materials that shape the Earth’s surface. Students use field data and maps to investigate volcanic activity, erosion, landslides, tectonic faults, and/or geologic hazards.<br/><b>Requisites:</b> Prereq: <a class=""bubblelink code"" href=""/search/?P=ERTH%20101"" onclick=""return showCourse(this, 'ERTH 101');"" title=""ERTH 101"">ERTH 101</a> or <a class=""bubblelink code"" href=""/search/?P=ERTH%20201"" onclick=""return showCourse(this, 'ERTH 201');"" title=""ERTH 201"">ERTH 201</a>.<br/>
</p>"
ERTH,331,ERTH 331,Mineralogy,5 Credits,"Crystal chemistry, systematic study of rock-forming silicate, and selected other minerals, mineral optics, and x-ray diffraction. Lab work with hand samples and petrographic microscopes.","Prereq: ERTH 201, ERTH 202 or ERTH 101, ERTH 102; coreq: CH 221Z or CH 224H.",,,,,"<p class=""courseblockdesc"">
Crystal chemistry, systematic study of rock-forming silicate, and selected other minerals, mineral optics, and x-ray diffraction. Lab work with hand samples and petrographic microscopes.<br/><b>Requisites:</b> Prereq: <a class=""bubblelink code"" href=""/search/?P=ERTH%20201"" onclick=""return showCourse(this, 'ERTH 201');"" title=""ERTH 201"">ERTH 201</a>, <a class=""bubblelink code"" href=""/search/?P=ERTH%20202"" onclick=""return showCourse(this, 'ERTH 202');"" title=""ERTH 202"">ERTH 202</a> or <a class=""bubblelink code"" href=""/search/?P=ERTH%20101"" onclick=""return showCourse(this, 'ERTH 101');"" title=""ERTH 101"">ERTH 101</a>, <a class=""bubblelink code"" href=""/search/?P=ERTH%20102"" onclick=""return showCourse(this, 'ERTH 102');"" title=""ERTH 102"">ERTH 102</a>; coreq: <a class=""bubblelink code"" href=""/search/?P=CH%20221Z"" onclick=""return showCourse(this, 'CH 221Z');"" title=""CH 221Z"">CH 221Z</a> or <a class=""bubblelink code"" href=""/search/?P=CH%20224H"" onclick=""return showCourse(this, 'CH 224H');"" title=""CH 224H"">CH 224H</a>.<br/>
</p>"
ERTH,332,ERTH 332,Introduction to Petrology,5 Credits,"Origin and classification of igneous, metamorphic, and sedimentary rocks. Microscopic study of rocks in thin section.",Prereq: ERTH 331.,,,,,"<p class=""courseblockdesc"">
Origin and classification of igneous, metamorphic, and sedimentary rocks. Microscopic study of rocks in thin section.<br/><b>Requisites:</b> Prereq: <a class=""bubblelink code"" href=""/search/?P=ERTH%20331"" onclick=""return showCourse(this, 'ERTH 331');"" title=""ERTH 331"">ERTH 331</a>.<br/>
</p>"
ERTH,334,ERTH 334,Sedimentology and Stratigraphy,4 Credits,Sedimentary processes; characteristic properties of sedimentary rocks and their use in interpreting depositional environments; principles of lithostratigraphy and sequence stratigraphy.,Prereq: ERTH 101 – ERTH 103 or ERTH 201 – ERTH 203; pre- or coreq: ERTH 311 or ERTH 332.,,,,,"<p class=""courseblockdesc"">
Sedimentary processes; characteristic properties of sedimentary rocks and their use in interpreting depositional environments; principles of lithostratigraphy and sequence stratigraphy.<br/><b>Requisites:</b> Prereq: <a class=""bubblelink code"" href=""/search/?P=ERTH%20101"" onclick=""return showCourse(this, 'ERTH 101');"" title=""ERTH 101"">ERTH 101</a>–<a class=""bubblelink code"" href=""/search/?P=ERTH%20103"" onclick=""return showCourse(this, 'ERTH 103');"" title=""ERTH 103"">ERTH 103</a> or <a class=""bubblelink code"" href=""/search/?P=ERTH%20201"" onclick=""return showCourse(this, 'ERTH 201');"" title=""ERTH 201"">ERTH 201</a>–<a class=""bubblelink code"" href=""/search/?P=ERTH%20203"" onclick=""return showCourse(this, 'ERTH 203');"" title=""ERTH 203"">ERTH 203</a>; pre- or coreq: <a class=""bubblelink code"" href=""/search/?P=ERTH%20311"" onclick=""return showCourse(this, 'ERTH 311');"" title=""ERTH 311"">ERTH 311</a> or <a class=""bubblelink code"" href=""/search/?P=ERTH%20332"" onclick=""return showCourse(this, 'ERTH 332');"" title=""ERTH 332"">ERTH 332</a>.<br/>
</p>"
ERTH,337,ERTH 337,Introduction to Physical Oceanography,4 Credits,"Introduction to the physical processes that occur in the ocean. These processes control the movement of sediment, pollution, nutrients, and biota, as well as heat and freshwater. Topics might include waves, global ocean circulation, sediment transport, estuarine circulation, and biological oceanography.","Prereq: [ ERTH 101, ERTH 102 ] or [ ERTH 201, ERTH 202 ]; [ PHYS 201, PHYS 202 ] or [ PHYS 251, PHYS 252 ].",,Science Area,,,"<p class=""courseblockdesc"">
Introduction to the physical processes that occur in the ocean. These processes control the movement of sediment, pollution, nutrients, and biota, as well as heat and freshwater. Topics might include waves, global ocean circulation, sediment transport, estuarine circulation, and biological oceanography.<br/><b>Requisites:</b> Prereq: [<a class=""bubblelink code"" href=""/search/?P=ERTH%20101"" onclick=""return showCourse(this, 'ERTH 101');"" title=""ERTH 101"">ERTH 101</a>, <a class=""bubblelink code"" href=""/search/?P=ERTH%20102"" onclick=""return showCourse(this, 'ERTH 102');"" title=""ERTH 102"">ERTH 102</a>] or [<a class=""bubblelink code"" href=""/search/?P=ERTH%20201"" onclick=""return showCourse(this, 'ERTH 201');"" title=""ERTH 201"">ERTH 201</a>, <a class=""bubblelink code"" href=""/search/?P=ERTH%20202"" onclick=""return showCourse(this, 'ERTH 202');"" title=""ERTH 202"">ERTH 202</a>]; [<a class=""bubblelink code"" href=""/search/?P=PHYS%20201"" onclick=""return showCourse(this, 'PHYS 201');"" title=""PHYS 201"">PHYS 201</a>, <a class=""bubblelink code"" href=""/search/?P=PHYS%20202"" onclick=""return showCourse(this, 'PHYS 202');"" title=""PHYS 202"">PHYS 202</a>] or [<a class=""bubblelink code"" href=""/search/?P=PHYS%20251"" onclick=""return showCourse(this, 'PHYS 251');"" title=""PHYS 251"">PHYS 251</a>, <a class=""bubblelink code"" href=""/search/?P=PHYS%20252"" onclick=""return showCourse(this, 'PHYS 252');"" title=""PHYS 252"">PHYS 252</a>].<br/><b>Additional Information:</b><br/> Science Area<br/>
</p>"
